Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
331,0.0307,0.171,0.145,0.303
332,0.0301,0.1773,0.143,0.309
333,0.0301,0.1772,0.143,0.31
334,0.0325,0.1754,0.15,0.307
335,0.0291,0.1833,0.141,0.315
336,0.0288,0.178,0.139,0.309
337,0.0282,0.1769,0.139,0.309
338,0.0284,0.1763,0.139,0.309
339,0.0293,0.1785,0.14,0.311
340,0.0301,0.1862,0.142,0.317
341,0.0268,0.1822,0.135,0.311
342,0.0287,0.1758,0.14,0.309
343,0.0316,0.1798,0.147,0.311
344,0.0294,0.1767,0.141,0.308
345,0.0283,0.178,0.139,0.309
346,0.0298,0.1845,0.143,0.319
347,0.0282,0.1797,0.138,0.312
348,0.0268,0.1825,0.135,0.316
349,0.0287,0.1851,0.14,0.317
350,0.028,0.1836,0.137,0.319
351,0.0293,0.1798,0.143,0.313
352,0.0297,0.1774,0.142,0.309
353,0.0288,0.1783,0.14,0.31
